STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNOW,TMAX,TMIN
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750315,0.00,0.0,67,44
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750316,0.00,0.0,69,48
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750317,0.00,0.0,65,51
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750318,0.00,0.0,78,54
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750319,0.00,0.0,80,44
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750320,0.00,0.0,80,52
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750321,0.00,0.0,78,64
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750322,0.00,0.0,83,67
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750323,0.00,0.0,82,63
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750324,0.00,0.0,75,53
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750325,0.00,0.0,81,45
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750326,0.15,0.0,73,56
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750327,0.00,0.0,87,70
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750328,0.01,0.0,73,44
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750329,0.00,0.0,44,36
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750330,0.00,0.0,59,34
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750331,0.00,0.0,70,44
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750401,0.00,0.0,78,47
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750402,0.00,0.0,68,46
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750403,0.00,0.0,64,36
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750404,0.00,0.0,68,43
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750405,0.02,0.0,71,57
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750406,0.03,0.0,71,59
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750407,0.15,0.0,71,61
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750408,0.08,0.0,78,59
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750409,0.01,0.0,81,61
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750410,0.00,0.0,74,56
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750411,0.00,0.0,72,54
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750412,0.00,0.0,71,51
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750413,0.09,0.0,60,54
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750414,0.00,0.0,70,53
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750415,0.00,0.0,82,46
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750416,0.00,0.0,79,57
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750417,0.00,0.0,83,67
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750418,0.00,0.0,90,70
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750419,0.00,0.0,77,55
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750420,0.00,0.0,78,56
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750421,0.01,0.0,71,60
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750422,0.01,0.0,85,62
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750423,0.00,0.0,84,69
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750424,0.00,0.0,88,71
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750425,0.00,0.0,88,70
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750426,0.00,0.0,87,73
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750427,0.00,0.0,85,71
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750428,3.00,0.0,73,62
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750429,0.00,0.0,84,64
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750430,0.46,0.0,82,63
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750501,0.00,0.0,78,64
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750502,0.00,0.0,79,68
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750503,0.00,0.0,82,71
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750504,0.06,0.0,85,66
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750505,0.14,0.0,79,65
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750506,0.00,0.0,85,71
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750507,0.48,0.0,88,67
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750508,0.11,0.0,78,65
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750509,0.00,0.0,83,60
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750510,0.38,0.0,83,70
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750511,0.42,0.0,79,65
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750512,0.00,0.0,81,60
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750513,0.40,0.0,83,62
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750514,0.00,0.0,82,61
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750515,0.00,0.0,82,60
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750516,0.00,0.0,83,59
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750517,0.00,0.0,84,60
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750518,0.00,0.0,87,65
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750519,0.30,0.0,82,67
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750520,0.28,0.0,88,65
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750521,0.00,0.0,87,73
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750522,0.00,0.0,87,73
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750523,4.21,0.0,76,66
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750524,0.92,0.0,75,61
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750525,0.00,0.0,84,58
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750526,0.00,0.0,88,72
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750527,0.00,0.0,87,68
